Iteracion,Muestra,Pot0,Pot1,Pot2,Pot3
0,0,526,328,614,321
0,1,526,328,614,384
0,2,526,328,614,442
0,3,526,328,614,483
0,4,526,328,614,493
0,5,526,328,614,467
0,6,526,328,614,411
0,7,526,328,614,343
0,8,526,328,614,268
0,9,526,328,614,197
0,10,526,328,614,127
0,11,526,328,614,68
0,12,526,328,614,33
0,13,526,328,614,31
0,14,526,328,614,31
0,15,526,328,614,31
0,16,526,328,614,31
0,17,526,328,614,32
0,18,526,328,614,31
0,19,526,328,614,31
0,20,526,328,614,31
0,21,526,328,613,31
0,22,526,328,589,32
0,23,526,328,525,31
0,24,526,328,433,31
0,25,526,328,351,31
0,26,526,328,294,31
0,27,526,328,267,31
0,28,526,328,264,31
0,29,526,328,274,31
1,0,526,328,308,31
1,1,526,328,358,31
1,2,526,328,416,31
1,3,526,328,471,31
1,4,526,328,523,31
1,5,526,328,573,31
1,6,526,328,626,31
1,7,526,328,677,32
1,8,526,328,697,32
1,9,526,328,681,31
1,10,526,328,624,31
1,11,526,328,544,31
1,12,526,328,447,32
1,13,526,328,361,31
1,14,526,328,303,31
1,15,526,328,288,31
1,16,526,327,287,31
1,17,526,328,287,32
1,18,526,328,287,32
1,19,526,328,287,31
1,20,526,328,287,32
1,21,526,328,288,31
1,22,526,332,287,31
1,23,526,353,287,31
1,24,526,403,287,32
1,25,526,466,287,32
1,26,526,521,287,31
1,27,526,527,288,31
1,28,526,479,288,31
1,29,526,408,288,31
2,0,526,328,288,31
2,1,526,253,288,31
2,2,526,171,288,31
2,3,526,94,288,31
2,4,526,24,287,31
2,5,526,0,288,31
2,6,526,0,288,31
2,7,526,0,288,32
2,8,526,0,288,31
2,9,526,11,288,31
2,10,526,68,287,31
2,11,526,130,288,32
2,12,526,192,288,31
2,13,526,251,288,31
2,14,526,316,288,31
2,15,526,382,288,31
2,16,526,434,288,31
2,17,526,453,288,31
2,18,526,434,288,31
2,19,526,379,288,31
2,20,526,303,287,31
2,21,526,219,288,31
2,22,526,141,288,31
2,23,526,105,288,31
2,24,526,104,288,31
2,25,526,104,288,31
2,26,526,104,288,31
2,27,526,104,288,31
2,28,526,104,288,31
2,29,526,104,287,32
3,0,526,104,288,31
3,1,526,104,288,31
3,2,539,105,288,31
3,3,580,104,288,32
3,4,660,105,288,31
3,5,750,104,288,31
3,6,822,104,287,31
3,7,868,104,287,32
3,8,873,104,288,31
3,9,841,105,288,31
3,10,782,104,288,31
3,11,690,104,288,31
3,12,578,104,288,32
3,13,461,104,288,32
